ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
409,2025-02-10 13:51:50.451395775,2025-02-10 13:56:43.550424087,CPH,bachelor,Etisk teknologivurdering,Facilitation of productive meeting,Systemtænkning i ingeniørvidenskab,Interdisciplinary problem design,Generative AI in study practices?,SCRUM-techniques in project work?,Tværfagligt problemdesign,Facilitering af produktive møder,SCRUM-techniques in project work?,"Motivation, well-being and work-life balance?",,3,1,,,,,,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2025-02-11 10:08:26.886089446,2025-02-11 10:11:22.519379102,AAL,bachelor,Facilitation of productive meeting,Tværfagligt problemdesign,Collaboration across discplines,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,Digital practices in project work,Etisk teknologivurdering,Generative AI in study practices?,Generativ AI i studiepraksis,Ethical technology assessment?,2,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,2025-02-12 14:12:23.560614828,2025-02-12 14:20:46.405056526,AAL,master,Leadership and project management,Digital and hybrid practices in collaborative work,Professional communication with external partners,Clarification of individual professional competences,Ethical technology assessment,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,2025-02-07 12:03:16.636548484,2025-02-07 12:03:55.744250273,CPH,master,Psychological safety in team work,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Professional communication with external partners,Ethical technology assessment,Digital and hybrid practices in collaborative work,Leadership and project management,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,2025-02-12 14:40:20.211387718,2025-02-12 14:44:29.177978971,CPH,master,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Psychological safety in team work,Leadership and project management,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Professional communication with external partners,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,2025-02-13 11:47:48.797196252,2025-02-13 11:52:32.500326395,AAL,bachelor,Samarbejde på tværs af fagligheder,Generativ AI i studiepraksis,Collaboration across discplines,"Motivation, trivsel og work-life balance",Tværfagligt problemdesign,Digital practices in project work,Facilitation of productive meeting,Facilitering af produktive møder,SCRUM-teknikker i projektarbejdet,Generative AI in study practices?,,,,,1,,,,2,,,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,2025-02-05 12:48:12.120254843,2025-02-05 12:49:05.417705118,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Digital and hybrid practices in collaborative work,Psychological safety in team work,Clarification of individual professional competences,Leadership and project management,Professional communication with external partners,Creativity and entrepeneurship,,,,,,,,,,,,,1,,2,,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2025-02-07 10:43:58.094611333,2025-02-07 10:47:03.249032328,AAL,master,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Ethical technology assessment,Professional identity development,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Creativity and entrepeneurship,,,,,,,,,,,,,,1,3,,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2025-02-07 13:53:03.205998919,2025-02-07 13:56:45.983096511,CPH,master,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Clarification of individual professional competences,Professional identity development,Ethical technology assessment,Professional communication with external partners,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,2025-02-10 13:08:46.552082406,2025-02-10 13:24:32.917287824,CPH,bachelor,Facilitering af produktive møder,Systems thinking in engineering,"Motivation, trivsel og work-life balance",Collaboration across discplines,Samarbejde på tværs af fagligheder,Interdisciplinary problem design,Digitale praksisser i projektarbejdet,Tværfagligt problemdesign,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,,,,,,1,,,,3,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2025-02-13 15:28:05.070770446,2025-02-13 16:01:07.252585638,AAL,bachelor,Systems thinking in engineering,Collaboration across discplines,Systemtænkning i ingeniørvidenskab,Digital practices in project work,Psychological safety in teamwork,Digitale praksisser i projektarbejdet,Etisk teknologivurdering,Samarbejde på tværs af fagligheder,Samarbejde på tværs af fagligheder,Samarbejde på tværs af fagligheder,,3,,,,,,,,,,,,,,,,,,1,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,2025-02-11 09:15:11.231900078,2025-02-11 09:19:37.415655178,AAL,master,Professional identity development,Psychological safety in team work,Clarification of individual professional competences,Professional communication with external partners,Ethical technology assessment,Creativity and entrepeneurship,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,3,,2,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,2025-02-11 11:02:17.088307747,2025-02-11 11:04:52.035117577,CPH,bachelor,Ethical technology assessment,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Samarbejde på tværs af fagligheder,Etisk teknologivurdering,SCRUM-teknikker i projektarbejdet,Psykologisk tryghed i teams,Collaboration across discplines,Facilitation of productive meeting,Etisk teknologivurdering,,,,,,,,,2,3,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,2025-02-13 22:27:09.634409702,2025-02-13 22:39:35.095593817,CPH,bachelor,Etisk teknologivurdering,Ethical technology assessment,SCRUM-teknikker i projektarbejdet,Collaboration across discplines,Facilitering af produktive møder,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Systemtænkning i ingeniørvidenskab,Tværfagligt problemdesign,,,1,,,,,3,,,,,2,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,2025-02-11 21:31:43.855110621,2025-02-11 21:35:53.671146497,AAL,master,Creativity and entrepeneurship,Professional identity development,Professional communication with external partners,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Digital and hybrid practices in collaborative work,Ethical technology assessment,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,2025-02-10 12:41:00.012198534,2025-02-10 12:43:33.095857564,CPH,bachelor,Facilitation of productive meeting,Digitale praksisser i projektarbejdet,SCRUM-techniques in project work?,"Motivation, trivsel og work-life balance","Motivation, well-being and work-life balance?",Ethical technology assessment?,Facilitering af produktive møder,Systemtænkning i ingeniørvidenskab,Psychological safety in teamwork,Tværfagligt problemdesign,,,,,,,2,,,,,,,,,,,,,,,1,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2025-02-12 22:08:33.914108416,2025-02-12 22:14:32.319022139,CPH,master,Professional communication with external partners,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Ethical technology assessment,Psychological safety in team work,Professional identity development,Clarification of individual professional competences,Leadership and project management,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,2025-02-10 09:42:21.805209937,2025-02-10 09:50:57.895470550,CPH,master,Psychological safety in team work,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Ethical technology assessment,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,2025-02-11 13:17:13.180996369,2025-02-11 13:18:17.527890893,CPH,bachelor,Facilitering af produktive møder,Psykologisk tryghed i teams,Digitale praksisser i projektarbejdet,Ethical technology assessment?,Facilitation of productive meeting,Generativ AI i studiepraksis,Tværfagligt problemdesign,Etisk teknologivurdering,Etisk teknologivurdering,Psykologisk tryghed i teams,,,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,2025-02-13 11:09:43.710829747,2025-02-13 11:10:08.493825128,CPH,master,Creativity and entrepeneurship,Professional communication with external partners,Digital and hybrid practices in collaborative work,Psychological safety in team work,Clarification of individual professional competences,Leadership and project management,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,,2,,3,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2025-02-07 10:26:01.836342805,2025-02-07 14:56:59.904873920,CPH,bachelor,Facilitation of productive meeting,Tværfagligt problemdesign,Samarbejde på tværs af fagligheder,Generativ AI i studiepraksis,Etisk teknologivurdering,SCRUM-techniques in project work?,Generative AI in study practices?,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,Tværfagligt problemdesign,2,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,2025-02-06 09:27:05.711267601,2025-02-06 09:32:14.545275917,AAL,master,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Professional communication with external partners,Leadership and project management,Clarification of individual professional competences,Ethical technology assessment,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2025-02-07 09:18:25.915168970,2025-02-07 09:24:02.148460777,CPH,master,Ethical technology assessment,Digital and hybrid practices in collaborative work,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Professional identity development,Psychological safety in team work,Clarification of individual professional competences,,,,,,,,,,,,,,,1,,3,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,2025-02-13 08:27:23.361095118,2025-02-13 08:35:07.376200696,AAL,master,Creativity and entrepeneurship,Clarification of individual professional competences,Ethical technology assessment,Leadership and project management,Professional communication with external partners,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,2025-02-10 10:31:31.422545415,2025-02-10 10:37:31.274036883,AAL,bachelor,"Motivation, well-being and work-life balance?",Collaboration across discplines,Tværfagligt problemdesign,Interdisciplinary problem design,Digitale praksisser i projektarbejdet,Digital practices in project work,Facilitation of productive meeting,Samarbejde på tværs af fagligheder,Psykologisk tryghed i teams,Ethical technology assessment?,3,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,2025-02-11 10:30:23.052946941,2025-02-11 10:34:04.234666878,CPH,master,Psychological safety in team work,Leadership and project management,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Professional communication with external partners,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,,,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,2025-02-10 20:40:35.235411578,2025-02-10 20:53:58.216191535,CPH,master,Ethical technology assessment,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Professional identity development,Clarification of individual professional competences,Professional communication with external partners,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,2025-02-07 09:25:04.562731010,2025-02-07 22:48:18.522603758,CPH,master,Professional identity development,Creativity and entrepeneurship,Clarification of individual professional competences,Ethical technology assessment,Professional communication with external partners,Psychological safety in team work,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,3,,,,,,1,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,2025-02-10 08:14:27.206356145,2025-02-10 08:49:31.961150538,CPH,master,Creativity and entrepeneurship,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Professional communication with external partners,Leadership and project management,Ethical technology assessment,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,2025-02-13 12:22:02.245438696,2025-02-13 12:27:51.854502816,AAL,master,Creativity and entrepeneurship,Ethical technology assessment,Leadership and project management,Digital and hybrid practices in collaborative work,Professional communication with external partners,Clarification of individual professional competences,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,2,,,3,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,2025-02-07 14:18:53.675409471,2025-02-07 14:24:04.647041529,CPH,bachelor,Interdisciplinary problem design,Systems thinking in engineering,Psykologisk tryghed i teams,"Motivation, well-being and work-life balance?",Facilitation of productive meeting,SCRUM-teknikker i projektarbejdet,Collaboration across discplines,SCRUM-techniques in project work?,Facilitation of productive meeting,Psychological safety in teamwork,,,,3,,,,,,,,,,,,,,,1,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,2025-02-07 11:38:58.044230508,2025-02-07 12:28:04.855467123,AAL,master,Professional identity development,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Psychological safety in team work,Professional communication with external partners,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,3,,2,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,2025-02-10 08:30:46.921494474,2025-02-10 08:32:17.371595209,CPH,master,Professional identity development,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Ethical technology assessment,Leadership and project management,,,,,,,,,,,,,3,,,2,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,2025-02-12 18:46:58.480005728,2025-02-12 18:49:42.328664882,AAL,master,Professional identity development,Creativity and entrepeneurship,Professional communication with external partners,Leadership and project management,Psychological safety in team work,Clarification of individual professional competences,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,,3,,,1,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,2025-02-10 13:34:31.659492494,2025-02-10 13:35:37.179098666,AAL,master,Clarification of individual professional competences,Leadership and project management,Professional communication with external partners,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,,,,,,,,,,,,,,1,,,3,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,2025-02-07 10:54:23.461574581,2025-02-07 10:56:45.298369120,CPH,bachelor,Generativ AI i studiepraksis,Systems thinking in engineering,Tværfagligt problemdesign,SCRUM-teknikker i projektarbejdet,Systemtænkning i ingeniørvidenskab,Facilitering af produktive møder,Ethical technology assessment?,"Motivation, well-being and work-life balance?",Generativ AI i studiepraksis,Facilitering af produktive møder,3,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,2025-02-11 10:20:47.322615362,2025-02-11 10:21:54.109657871,AAL,bachelor,SCRUM-teknikker i projektarbejdet,Systemtænkning i ingeniørvidenskab,Systems thinking in engineering,Collaboration across discplines,Etisk teknologivurdering,Digital practices in project work,Facilitation of productive meeting,Facilitering af produktive møder,Facilitering af produktive møder,Samarbejde på tværs af fagligheder,,2,,,,,,1,,,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,2025-02-10 08:39:40.356748958,2025-02-10 08:43:16.787815284,AAL,master,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Psychological safety in team work,Leadership and project management,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Ethical technology assessment,,,,,,,,,,,,,,2,,3,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,2025-02-13 12:42:35.733959472,2025-02-13 12:47:57.070742213,CPH,master,Psychological safety in team work,Professional communication with external partners,Professional identity development,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Ethical technology assessment,Leadership and project management,Creativity and entrepeneurship,,,,,,,,,,,,,,,,1,2,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,2025-02-11 07:17:00.025321247,2025-02-11 07:18:53.511148096,AAL,master,Psychological safety in team work,Professional communication with external partners,Professional identity development,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,,,,,,,,,,,,,,,,1,2,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2025-02-13 22:45:38.185649447,2025-02-13 22:47:42.287410445,AAL,master,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Creativity and entrepeneurship,Leadership and project management,Ethical technology assessment,,,,,,,,,,,,,,2,,,3,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,2025-02-10 11:40:58.755375122,2025-02-10 11:45:09.124947413,CPH,bachelor,Systems thinking in engineering,Ethical technology assessment,"Motivation, trivsel og work-life balance",Interdisciplinary problem design,Psychological safety in teamwork,Facilitering af produktive møder,Systemtænkning i ingeniørvidenskab,SCRUM-techniques in project work?,Tværfagligt problemdesign,"Motivation, well-being and work-life balance?",,,,,,,,,,3,,,2,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,2025-02-13 15:10:23.752316318,2025-02-13 15:12:02.181073113,AAL,bachelor,"Motivation, trivsel og work-life balance",Samarbejde på tværs af fagligheder,SCRUM-techniques in project work?,SCRUM-teknikker i projektarbejdet,Systems thinking in engineering,Systemtænkning i ingeniørvidenskab,Facilitation of productive meeting,Collaboration across discplines,Generativ AI i studiepraksis,Ethical technology assessment?,,,,,2,,,,,1,,,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,2025-02-11 11:25:47.753723812,2025-02-11 11:30:21.524446611,AAL,bachelor,Generative AI in study practices?,Facilitation of productive meeting,Digitale praksisser i projektarbejdet,Tværfagligt problemdesign,Ethical technology assessment?,Etisk teknologivurdering,SCRUM-teknikker i projektarbejdet,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,SCRUM-techniques in project work?,,,,,,,3,,,,,,,,,,,,,,,2,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,2025-02-13 12:12:20.552158808,2025-02-13 12:14:20.230678298,CPH,master,Creativity and entrepeneurship,Clarification of individual professional competences,Ethical technology assessment,Digital and hybrid practices in collaborative work,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Psychological safety in team work,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,2025-02-09 18:02:27.002885638,2025-02-09 18:59:27.830531846,CPH,bachelor,Etisk teknologivurdering,Interdisciplinary problem design,Facilitering af produktive møder,Systems thinking in engineering,Tværfagligt problemdesign,Facilitation of productive meeting,Collaboration across discplines,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Psykologisk tryghed i teams,,,1,,,3,,,,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,2025-02-13 11:02:35.910766522,2025-02-13 16:23:59.157313457,CPH,master,Creativity and entrepeneurship,Professional communication with external partners,Clarification of individual professional competences,Professional identity development,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,2025-02-11 16:19:50.541107471,2025-02-11 16:22:30.153140085,AAL,bachelor,Ethical technology assessment,Facilitering af produktive møder,Samarbejde på tværs af fagligheder,SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance",Psykologisk tryghed i teams,Psychological safety in teamwork,Ethical technology assessment?,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,,,,,3,2,,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,2025-02-12 09:43:32.999374604,2025-02-12 09:46:16.036754557,AAL,master,Creativity and entrepeneurship,Ethical technology assessment,Digital and hybrid practices in collaborative work,Professional communication with external partners,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Psychological safety in team work,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,2025-02-14 08:25:40.604200170,2025-02-14 08:28:54.872004348,AAL,master,Digital and hybrid practices in collaborative work,Ethical technology assessment,Professional identity development,Leadership and project management,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Psychological safety in team work,,,,,,,,,,,,,,,2,,,,1,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,2025-02-07 16:05:43.267459335,2025-02-07 16:28:51.076403341,AAL,bachelor,Digitale praksisser i projektarbejdet,Ethical technology assessment,Facilitation of productive meeting,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,Facilitering af produktive møder,Generative AI in study practices?,SCRUM-techniques in project work?,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,2025-02-13 15:26:44.402504207,2025-02-13 15:42:04.781481221,AAL,master,Professional identity development,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Psychological safety in team work,Ethical technology assessment,Professional communication with external partners,,,,,,,,,,,,,3,2,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,2025-02-10 13:44:48.148103862,2025-02-10 13:59:36.786901278,CPH,bachelor,SCRUM-teknikker i projektarbejdet,Facilitation of productive meeting,Systemtænkning i ingeniørvidenskab,Collaboration across discplines,"Motivation, well-being and work-life balance?",Interdisciplinary problem design,Psychological safety in teamwork,Samarbejde på tværs af fagligheder,Digital practices in project work,Generative AI in study practices?,,3,,,,,,1,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,2025-02-11 11:27:33.562769458,2025-02-11 11:41:09.421316900,AAL,master,Ethical technology assessment,Clarification of individual professional competences,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Leadership and project management,Psychological safety in team work,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,2025-02-09 23:13:42.636677439,2025-02-09 23:21:00.620936772,CPH,bachelor,Facilitering af produktive møder,Psykologisk tryghed i teams,Tværfagligt problemdesign,"Motivation, trivsel og work-life balance",SCRUM-techniques in project work?,Digital practices in project work,Ethical technology assessment?,Systemtænkning i ingeniørvidenskab,Facilitering af produktive møder,SCRUM-teknikker i projektarbejdet,3,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
